목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
호텔스테이오늘/공주점,127.13009749395542,36.47053803346721,공주시,신관동,여행/레저,숙박,모텔/여관,1,0.17647058823529413
호텔카이,127.121258432117,36.4633126040543,공주시,웅진동,여행/레저,숙박,모텔/여관,0,0.21428571428571427
호텔패션,127.132729588425,36.468312100577,공주시,신관동,여행/레저,숙박,모텔/여관,0,0.25
호텔패션,127.132729588425,36.468312100577,공주시,신관동,여행/레저,숙박,모텔/여관,1,0.35294117647058826
홀리데이호텔,127.2505811187498,36.367713144859536,공주시,반포면,여행/레저,숙박,호텔,0,0.10714285714285714
홀인원모텔,127.25131480315753,36.36451581985406,공주시,반포면,여행/레저,숙박,모텔/여관,0,0.10714285714285714
홍기와쭈꾸미,127.255719374153,36.3873776021891,공주시,반포면,생활편의,음식점,전문음식점,0,9.678571428571429
홍기와쭈꾸미,127.255719374153,36.3873776021891,공주시,반포면,생활편의,음식점,전문음식점,1,14.470588235294118
화덕구이고등어,127.1431494637153,36.47980746032094,공주시,월송동,생활편의,음식점,한식,0,0.21428571428571427
화덕구이고등어,127.1431494637153,36.47980746032094,공주시,월송동,생활편의,음식점,한식,1,0.17647058823529413
화이트리풀빌라펜션,127.022100003741,36.530415481708,공주시,사곡면,여행/레저,숙박,펜션,1,0.17647058823529413
화평침례교회,127.120507849851,36.5358598762028,공주시,정안면,생활편의,종교,교회시설,0,0.10714285714285714
황금코다리/공주점,127.14705782147792,36.48160135924054,공주시,월송동,생활편의,음식점,한식,0,0.14285714285714285
황금코다리/공주점,127.14705782147792,36.48160135924054,공주시,월송동,생활편의,음식점,한식,1,0.17647058823529413
황새바위순교성지,127.11992521500616,36.46359034239423,공주시,웅진동,생활편의,종교,성당시설,0,2.5357142857142856
황새바위순교성지,127.11992521500616,36.46359034239423,공주시,웅진동,생활편의,종교,성당시설,1,4.11764705882353
황토성참숯가마찜질방,127.195696598802,36.424567456574,공주시,반포면,생활편의,생활서비스,찜질방,0,0.25
황토성참숯가마찜질방,127.195696598802,36.424567456574,공주시,반포면,생활편의,생활서비스,찜질방,1,0.35294117647058826
황토촌,127.123897151204,36.4560078970387,공주시,중학동,생활편의,음식점,한식,0,0.25
황해도전통손만두국,127.13434070835252,36.45125849949577,공주시,옥룡동,생활편의,음식점,한식,1,0.23529411764705882
회떠,127.136729187888,36.4732837789943,공주시,신관동,생활편의,음식점,전문음식점,0,0.10714285714285714
회떠,127.136729187888,36.4732837789943,공주시,신관동,생활편의,음식점,전문음식점,1,0.17647058823529413
후멜로,127.2141256994052,36.42286516255948,공주시,반포면,생활편의,카페,카페기타,0,1.5357142857142856
후멜로,127.2141256994052,36.42286516255948,공주시,반포면,생활편의,카페,카페기타,1,4.529411764705882
훼미리낚시터,127.1669872,36.4386425,공주시,옥룡동,여행/레저,레저/스포츠,낚시,0,0.10714285714285714
훼미리낚시터,127.1669872,36.4386425,공주시,옥룡동,여행/레저,레저/스포츠,낚시,1,1.1764705882352942
휘연,127.25619843966685,36.386500690832335,공주시,반포면,생활편의,카페,카페기타,0,0.39285714285714285
휘연,127.25619843966685,36.386500690832335,공주시,반포면,생활편의,카페,카페기타,1,2.0
휴펜션,127.2520398,36.3625986,공주시,반포면,여행/레저,숙박,펜션,0,0.10714285714285714
희망식당,127.129229880914,36.4704507251102,공주시,신관동,생활편의,술집,호프,0,0.21428571428571427
힐스포레,126.94965486961912,36.51658331206839,공주시,신풍면,여행/레저,레저/스포츠,관광농원,0,1.7857142857142856
힐스포레,126.94965486961912,36.51658331206839,공주시,신풍면,여행/레저,레저/스포츠,관광농원,1,4.0
힐스포레베이커리,126.95138613566968,36.51673413791195,공주시,신풍면,생활편의,음식점,제과점,0,0.10714285714285714
힐스포레베이커리,126.95138613566968,36.51673413791195,공주시,신풍면,생활편의,음식점,제과점,1,0.17647058823529413
힐하우스펜션,127.244026216152,36.3598528903156,공주시,반포면,여행/레저,숙박,펜션,0,0.10714285714285714
