목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
구이산,127.2514485,36.3661664,공주시,반포면,생활편의,음식점,한식,0,3
구이산,127.2514485,36.3661664,공주시,반포면,생활편의,음식점,한식,1,27
구이산,127.2514485,36.3661664,공주시,반포면,생활편의,음식점,한식,2,9
국립공주대학교/공주신관캠퍼스,127.13997893655936,36.46903428270254,공주시,신관동,공공편의,교육기관,대학교,0,2756
국립공주대학교/공주신관캠퍼스,127.13997893655936,36.46903428270254,공주시,신관동,공공편의,교육기관,대학교,1,1141
국립공주대학교/옥룡캠퍼스,127.13275751197769,36.45170288404132,공주시,옥룡동,공공편의,교육기관,대학교,0,65
국립공주대학교/옥룡캠퍼스,127.13275751197769,36.45170288404132,공주시,옥룡동,공공편의,교육기관,대학교,1,27
국립공주박물관,127.112231438257,36.46553452032348,공주시,웅진동,생활편의,문화생활시설,박물관/기념관,0,814
국립공주박물관,127.112231438257,36.46553452032348,공주시,웅진동,생활편의,문화생활시설,박물관/기념관,1,1204
국립공주박물관,127.112231438257,36.46553452032348,공주시,웅진동,생활편의,문화생활시설,박물관/기념관,2,147
국립공주병원,127.11056548477228,36.40190287767855,공주시,금학동,의료편의,의료시설,일반병원,0,225
국립공주병원,127.11056548477228,36.40190287767855,공주시,금학동,의료편의,의료시설,일반병원,1,98
국립공주병원,127.11056548477228,36.40190287767855,공주시,금학동,의료편의,의료시설,일반병원,2,47
국립법무병원,127.239109506606,36.413235669638,공주시,반포면,의료편의,의료시설,정신병원,0,518
국립법무병원,127.239109506606,36.413235669638,공주시,반포면,의료편의,의료시설,정신병원,1,237
국립법무병원,127.239109506606,36.413235669638,공주시,반포면,의료편의,의료시설,정신병원,2,140
국수정,127.13964138621144,36.47379231433297,공주시,신관동,생활편의,음식점,한식,0,18
굽네치킨/공주중동점,127.12390672273044,36.45470317920204,공주시,중학동,생활편의,음식점,치킨,0,5
굿나루모텔,127.14351774493866,36.46209406966487,공주시,신관동,여행/레저,숙박,모텔/여관,0,7
굿나루모텔,127.14351774493866,36.46209406966487,공주시,신관동,여행/레저,숙박,모텔/여관,1,19
굿모닝펜션,127.021683372499,36.530609901544,공주시,사곡면,여행/레저,숙박,펜션,2,3
궁전MOTEL,127.250053397093,36.3666854810064,공주시,반포면,여행/레저,숙박,모텔/여관,2,3
궁전모텔,127.122980508946,36.4624238265659,공주시,웅진동,여행/레저,숙박,모텔/여관,0,6
궁전모텔,127.122980508946,36.4624238265659,공주시,웅진동,여행/레저,숙박,모텔/여관,1,19
궁중떡집,127.124174896335,36.4568966861712,공주시,웅진동,생활편의,음식점,떡/한과,1,3
귀네미시래기명태찜,127.25000694367398,36.3606049801026,공주시,반포면,생활편의,음식점,한식,2,4
귀빈식당,127.01976664844,36.556356949543,공주시,사곡면,생활편의,음식점,한식,0,6
