목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
킹콩수산,126.782895514654,36.942616886427,당진시,송악읍,생활편의,음식점,전문음식점,7
타르티네,126.62381189551913,36.8982851776596,당진시,당진2동,생활편의,음식점,제과점,3
타요키즈카페/당진점,126.630270757114,36.8940660402347,당진시,당진1동,여행/레저,레저/스포츠,키즈카페,14
타요피싱,126.56138154671402,37.02820898015781,당진시,석문면,여행/레저,레저/스포츠,낚시,3
타카이텐,126.63166744332084,36.90133248109642,당진시,당진1동,생활편의,음식점,일식,3
타타스베이글/당진점,126.6728218629695,36.87544106923936,당진시,순성면,생활편의,카페,카페기타,163
탐앤탐스/당진점,126.628659803226,36.8926217526608,당진시,당진1동,생활편의,카페,커피전문점,3
탑다이어트캠프,126.55431150769611,36.90691927528047,당진시,대호지면,생활편의,생활편의기타,생활편의기타,3
탑동교회,126.62174471887396,36.89603398508201,당진시,당진2동,생활편의,종교,교회시설,15
탑모텔,126.702597525621,36.902232177467,당진시,송악읍,여행/레저,숙박,모텔/여관,18
탑텐/당진시곡점,126.68202005646684,36.90232944642099,당진시,당진3동,쇼핑,의류/직물,스포츠·캐주얼의류,27
탑텐/당진중앙점,126.6363470314928,36.89765471741991,당진시,당진1동,쇼핑,의류/직물,스포츠·캐주얼의류,96
탕화쿵푸마라탕/당진점,126.63023919672798,36.89407770354471,당진시,당진1동,생활편의,음식점,중식,6
탕화쿵푸마라탕/송악점,126.69341644410224,36.90139506953263,당진시,송악읍,생활편의,음식점,중식,6
태공수산,126.526612094643,37.045048094201,당진시,석문면,생활편의,음식점,전문음식점,14
태균네횟집,126.57322823469156,37.02368194905084,당진시,석문면,생활편의,음식점,전문음식점,162
태봉면옥,126.6214885,36.8868874,당진시,당진2동,생활편의,음식점,한식,190
태봉한우면옥,126.6859039,36.9026729,당진시,당진3동,생활편의,음식점,한식,7
태성벤딩,126.718734999566,36.8984271506934,당진시,송악읍,기업/단체,업종별기업,철강 금속,19
태신철물,126.776230619278,36.8103820281778,당진시,합덕읍,생활편의,생활서비스,철물점,6
태영세라믹/당진공장,126.7095977533895,36.80460453525598,당진시,면천면,기업/단체,업종별기업,비금속 광물,18
태준이네횟집,126.6328553427951,36.88455882456364,당진시,당진2동,생활편의,음식점,전문음식점,61
태창금속,126.695599078451,36.7965498248329,당진시,면천면,기업/단체,업종별기업,철강 금속,25
태화루/[중식],126.64364509099369,36.89027668607818,당진시,당진1동,생활편의,음식점,중식,24
태화정공/당진공장,126.723512324057,36.9012046366681,당진시,송악읍,기업/단체,업종별기업,제조업,58
택이네조개전골/당진점,126.6326845,36.9008162,당진시,당진3동,생활편의,음식점,전문음식점,21
털보장어,126.639103357426,36.8871779922723,당진시,당진1동,생활편의,음식점,전문음식점,35
테마모텔,126.632826204606,36.88012321179,당진시,당진2동,여행/레저,숙박,모텔/여관,34
토담휴로스1차,126.598939260457,37.0060807635343,당진시,석문면,쇼핑,쇼핑기타,쇼핑기타,33
토부리병천순대/송악점,126.6930983522,36.9052040043982,당진시,송악읍,생활편의,음식점,한식,3
토이빌리지,126.630687459874,36.885622568088,당진시,당진2동,쇼핑,취미/오락,장난감,6
토프레소/합덕점,126.7758543,36.8128092,당진시,우강면,생활편의,카페,카페기타,9
통나무집식당,126.6307584,36.8753824,당진시,당진2동,생활편의,음식점,한식,6
통정1리회관,126.594245457231,36.9810558380692,당진시,석문면,기업/단체,사회시설,회관,3
투썸플레이스/당진CGV점,126.63043734203174,36.9017318271322,당진시,당진1동,생활편의,카페,커피전문점,14
투썸플레이스/당진시청점,126.6472971,36.8857646,당진시,당진1동,생활편의,카페,커피전문점,128
투썸플레이스/당진터미널점,126.64524157841478,36.90056537780798,당진시,당진1동,생활편의,카페,커피전문점,13
튼튼소아청소년과의원,126.634575897548,36.897343465694,당진시,당진1동,의료편의,의료시설,의원,57
튼튼약국,126.630881810455,36.8943993387121,당진시,당진1동,의료편의,기타의료시설,약국,5
틀못광장공영주차장,126.69123388288445,36.903129295485215,당진시,송악읍,교통편의,자동차시설,주차장,11
티바두마리치킨/당진1호점,126.626410001368,36.8930661334161,당진시,당진1동,생활편의,음식점,치킨,3
티에스이,126.791089672391,36.8923171549073,당진시,신평면,기업/단체,업종별기업,제조업,3
파나시아GC,126.79439500511482,36.88404034634412,당진시,신평면,여행/레저,레저/스포츠,골프장,722
파도소리형네횟집,126.77949552008296,36.96741230460757,당진시,송악읍,생활편의,음식점,전문음식점,3
