목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
계룡저수지,127.1538675769242,36.35815811293434,공주시,계룡면,여행/레저,관광명소,저수지,111
계룡철학관,127.13915512401292,36.47483481217279,공주시,신관동,생활편의,생활서비스,생활서비스기타,3
계림식당,127.12141353904305,36.46262835767038,공주시,웅진동,생활편의,음식점,한식,18
계실리마을회관,127.046236879318,36.514806292421,공주시,사곡면,기업/단체,사회시설,회관,6
고가네칼국수,127.123480544147,36.453480405109,공주시,중학동,생활편의,음식점,한식,245
고기백화점,127.133007311199,36.4717006045515,공주시,신관동,쇼핑,시장,농수축산물시장,18
고기사랑셀프식당,127.123952751799,36.4503974261368,공주시,중학동,생활편의,음식점,한식,6
고기정원,127.0420937282463,36.47228211972313,공주시,사곡면,생활편의,음식점,전문음식점,41
고들정육식당,127.252914326596,36.3586030848141,공주시,반포면,생활편의,음식점,한식,15
고려산업/공주공장,127.1618722296224,36.49097347271061,공주시,월송동,기업/단체,업종별기업,제조업,6
고마게스트하우스,127.12277805884702,36.46522915928741,공주시,웅진동,여행/레저,숙박,게스트하우스,9
고마나루1999,127.12272986830344,36.46495363265929,공주시,웅진동,생활편의,음식점,한식,351
고마두부마을,127.112731450622,36.459146363037,공주시,웅진동,생활편의,음식점,전문음식점,7
고마스크린골프,127.093899795702,36.4589518315052,공주시,우성면,여행/레저,레저/스포츠,골프연습장,3
고마커피,127.122230543764,36.4660067468371,공주시,웅진동,생활편의,카페,커피전문점,3
고박사냉면초계막국수,127.152616584855,36.4819217753059,공주시,월송동,생활편의,음식점,한식,45
고봉민김밥인/터미널점,127.136340362425,36.47006192203,공주시,신관동,생활편의,음식점,분식,12
고사리잡화점,127.131452046614,36.4546192105042,공주시,옥룡동,쇼핑,쇼핑기타,쇼핑기타,3
고운풍경펜션,127.02382208128,36.529415605836,공주시,사곡면,여행/레저,숙박,펜션,3
고운피부과의원,127.141173229453,36.4740892686021,공주시,신관동,의료편의,의료시설,의원,22
고은아이소아청소년과의원,127.15284083975764,36.47582236056792,공주시,월송동,의료편의,의료시설,의원,9
고창애풍천장어,127.16064392729066,36.45075870993093,공주시,옥룡동,생활편의,음식점,전문음식점,83
고향국밥집,127.064069973004,36.361879393545,공주시,이인면,생활편의,음식점,한식,3
고향보신탕,127.120925284556,36.4457868232455,공주시,중학동,생활편의,음식점,한식,3
고향손칼국수,127.15795949552091,36.4816340872832,공주시,월송동,생활편의,음식점,한식,224
곡물집,127.119536485421,36.4495919367734,공주시,중학동,쇼핑,음식료,음식료기타,22
곤드레쌈밥/[한식],127.11978506468652,36.60549080760822,공주시,정안면,생활편의,음식점,한식,13
골드리버CC,127.163393207334,36.5036971318018,공주시,의당면,여행/레저,레저/스포츠,골프장,626
골프존파크/신관썬스크린골프존점,127.132812892255,36.470784041307,공주시,신관동,여행/레저,레저/스포츠,골프연습장,7
골프존파크/월송나사스크린점,127.149172496357,36.47642238252,공주시,월송동,여행/레저,레저/스포츠,골프연습장,12
곰골식당,127.12054302648534,36.45184527360006,공주시,중학동,생활편의,음식점,한식,1373
곰골식당/월송점,127.1544019,36.47241,공주시,월송동,생활편의,음식점,한식,30
곰나루국민관광단지,127.1108426292356,36.4704506180967,공주시,웅진동,여행/레저,관광명소,놀이공원,4
곰나루국민관광단지,127.110842629236,36.4704506180967,공주시,웅진동,여행/레저,관광명소,유원지,6
곰나루식당,127.123341617624,36.4590908755006,공주시,웅진동,생활편의,음식점,한식,3
곰나루파크골프장,127.0997604,36.459921,공주시,웅진동,여행/레저,레저/스포츠,골프장,10
곰선생동태씨,127.1432595,36.4673465,공주시,신관동,생활편의,음식점,한식,76
곰탑공원,127.124091489188,36.4660067576687,공주시,웅진동,여행/레저,관광명소,공원,6
곱깨비/신관점,127.13644862236322,36.47117620387547,공주시,신관동,생활편의,음식점,전문음식점,3
공다방,127.123063811084,36.4650901895723,공주시,웅진동,생활편의,카페,카페기타,20
공산성,127.12536916684,36.4644791615807,공주시,웅진동,여행/레저,관광명소,성,8478
공산성/방문자센터,127.123591543858,36.4648679957674,공주시,웅진동,여행/레저,관광명소,관광안내소,6
공산성/임시주차장,127.125119228482,36.460062997186,공주시,웅진동,교통편의,자동차시설,주차장,7
공산성본가,127.12213547783271,36.463981556426674,공주시,웅진동,생활편의,음식점,한식,17
공산성부추해물칼국수,127.122730512875,36.4644791462223,공주시,웅진동,생활편의,음식점,한식,6
공산성입구,127.123702643839,36.4650068694618,공주시,금성동,여행/레저,관광명소,관광명소기타,111
공수원추어탕,127.01664957889447,36.44089589889552,공주시,우성면,생활편의,음식점,한식,10
공암매운탕어죽,127.263996597949,36.367213280692,공주시,반포면,생활편의,음식점,한식,3
공주건강랜드요양원,127.14264945837732,36.47269647076493,공주시,신관동,의료편의,기타의료시설,요양원,19
공주경비행장,127.12662364280465,36.509282550633074,공주시,의당면,여행/레저,레저/스포츠,레저/스포츠기타,8
공주경희한방병원,127.149089140825,36.4797275605451,공주시,월송동,의료편의,의료시설,한방병원,198
공주고등학교야구장,127.1225604,36.4473621,공주시,중학동,여행/레저,레저/스포츠,운동장/체육관,6
공주고마나루,127.10717629324655,36.469978428434224,공주시,웅진동,여행/레저,관광명소,문화유적지,17
공주공산성게스트하우스,127.12275667326162,36.465125129090296,공주시,웅진동,여행/레저,숙박,게스트하우스,12
공주공산성미디어아트,127.12538483209414,36.46450617494003,공주시,금성동,여행/레저,관광명소,축제,45
공주공산성연지,127.128507782,36.4638403638341,공주시,웅진동,여행/레저,관광명소,문화유적지,82
공주교육대학교,127.118703273214,36.4443147559923,공주시,봉황동,공공편의,교육기관,대학교,998
공주교육대학교/교육대학원,127.11926326487122,36.445808656907246,공주시,중학동,공공편의,교육기관,대학교,3
공주교회,127.116203387729,36.4564522460658,공주시,웅진동,생활편의,종교,교회시설,3
공주구룡사지,127.215889603945,36.384822103781,공주시,반포면,여행/레저,관광명소,문화유적지,6
공주국민체육센터,127.136979233163,36.4657290866582,공주시,신관동,여행/레저,레저/스포츠,운동장/체육관,80
공주기독교박물관,127.122508430727,36.450980684552,공주시,중학동,생활편의,문화생활시설,박물관/기념관,10
공주기적의도서관,127.153533252086,36.472756159557,공주시,월송동,생활편의,문화생활시설,도서관,85
공주농협농산물공판장,127.122591675723,36.4600629824795,공주시,웅진동,쇼핑,음식료,농수축산물점,13
공주대나무식당,127.122924976165,36.4604240543451,공주시,웅진동,생활편의,음식점,한식,4
공주대학교/공주신관캠퍼스,127.13997893655936,36.46903428270254,공주시,신관동,공공편의,교육기관,대학교,1949
공주대학교/옥룡캠퍼스,127.132757511978,36.4517028840413,공주시,옥룡동,공공편의,교육기관,대학교,39
공주도서관,127.126369191984,36.4516750722557,공주시,중학동,생활편의,문화생활시설,도서관,12
공주돈까스,127.151033740976,36.4429817628479,공주시,옥룡동,생활편의,음식점,전문음식점,14
공주마마,127.220222187476,36.4254286134732,공주시,반포면,생활편의,음식점,전문음식점,21
공주무령왕릉과왕릉원,127.112807485909,36.46138343227811,공주시,웅진동,여행/레저,관광명소,문화유적지,485
공주문예회관,127.111398227829,36.4600629174099,공주시,웅진동,기업/단체,사회시설,회관,118
공주문화예술촌,127.121591783553,36.4579521063205,공주시,웅진동,생활편의,문화생활시설,문화생활시설기타,4
공주문화원,127.122563950908,36.4543969619085,공주시,중학동,생활편의,문화생활시설,문화원,3
공주문화재단,127.107815154925,36.4666454790373,공주시,웅진동,기업/단체,각종단체,재단,3
공주문화재야행,127.12231397439872,36.45425808740505,공주시,반죽동,여행/레저,관광명소,축제,73
공주반죽동당간지주,127.12243056891565,36.45170276296395,공주시,중학동,여행/레저,관광명소,문화유적지,26
공주반포주조,127.252969536735,36.396459884771,공주시,반포면,기업/단체,업종별기업,음식료업,3
공주밤마실야시장,127.123730485264,36.4575910488326,공주시,웅진동,쇼핑,시장,시장기타,36
공주벧엘정신요양원,127.099038308469,36.4497862400967,공주시,금학동,의료편의,기타의료시설,요양원,3
공주보늬밤참,127.121675045593,36.4651179561,공주시,웅진동,생활편의,카페,카페기타,6
공주보물농공단지,127.123090365343,36.6010746649852,공주시,정안면,기업/단체,산업시설,지방공업단지,3
공주보석사우나,127.12573028965164,36.459563057766,공주시,웅진동,생활편의,생활서비스,목욕탕/사우나,62
공주보훈공원,127.1137567,36.4598022,공주시,웅진동,여행/레저,관광명소,공원,3
공주볼트,127.134451622083,36.4722561051617,공주시,신관동,기업/단체,업종별기업,제조업,32
공주북캠프,126.99140843507,36.51463932893,공주시,신풍면,여행/레저,레저/스포츠,캠프장,112
공주사거리약국,127.124897059468,36.4563134235645,공주시,중학동,의료편의,기타의료시설,약국,4
공주산림휴양마을,127.11831460575355,36.42328937341741,공주시,금학동,여행/레저,관광명소,자연휴양림,262
공주산림휴양마을/목재문화체험장,127.120592193683,36.4218451068438,공주시,금학동,생활편의,문화생활시설,문화생활시설기타,7
공주산성시장,127.123619384291,36.457563273576,공주시,웅진동,쇼핑,시장,종합시장,3149
공주산성시장문화공원,127.12298055672876,36.457063326883016,공주시,웅진동,여행/레저,관광명소,공원,24
공주살롱,127.1419394738474,36.47327470500667,공주시,신관동,생활편의,카페,카페기타,3
공주삼성요양원,127.12511350415662,36.45697839919221,공주시,웅진동,의료편의,기타의료시설,요양원,3
공주상신리당간지주,127.21798227715249,36.3843662609829,공주시,반포면,여행/레저,관광명소,문화유적지,6
공주서울내과의원,127.1251750860926,36.45698354432214,공주시,웅진동,의료편의,의료시설,의원,14
공주성모안과의원,127.124258192044,36.4602851890536,공주시,웅진동,의료편의,의료시설,의원,13
공주세종패밀리랜드,127.154782867807,36.5031693637474,공주시,의당면,여행/레저,레저/스포츠,테마파크,9
공주소풍펜션,127.0231555151218,36.52477724280031,공주시,사곡면,여행/레저,숙박,펜션,20
