is_weekend,목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,festival_period,요일
1,스타벅스/세종다정DT점,127.25524259858528,36.494856464305386,세종특별자치시,1.0,1,Sunday
1,스타벅스/세종청사점,127.270225259991,36.504512694471,세종특별자치시,1.0,0,Sunday
1,스타벅스/천안대로DT점,127.1642093679306,36.795010709205314,충청남도 천안시,1.0,1,Saturday
1,스타벅스/평택청북DT점,126.91495498944454,37.02016314900624,경기도 평택시,1.0,0,Sunday
1,스타펠리스,126.90902890576454,36.28074887074937,부여읍,4.0,0,Saturday
1,스타필드/안성,127.14709467672208,36.99502539359405,경기도 안성시,1.0,0,Saturday
1,스트라이크존/세종도담구장,127.257969400306,36.5140812458196,세종특별자치시,1.0,1,Saturday
1,스핀당구장,126.907001330953,36.2780824964715,부여읍,1.0,0,Saturday
1,시골뚜부,126.89502331118632,36.3015433731007,규암면,23.0,1,Saturday
1,시골막국수,126.848117388006,36.3125226897014,은산면,10.0,0,Saturday
1,시골아낙,126.913584124313,36.2727498071868,부여읍,4.0,1,Saturday
1,시골통닭,126.91161387734525,36.28202002972837,부여읍,147.0,1,Saturday
1,시인신동엽생가,126.909343448576,36.277475656253,부여읍,1.0,1,Saturday
1,시즌파이브프리미엄/본점,127.24258602369,36.5113342722545,세종특별자치시,1.0,2,Sunday
1,신SJ마켓,126.914143969131,36.2763427961623,부여읍,1.0,1,Sunday
1,신대박부속구이/율량직영점,127.496853500636,36.6653198696513,충청북도 청주시,1.0,1,Saturday
1,신도안오리,127.252347877553,36.2742446226206,충청남도 계룡시,1.0,2,Saturday
1,신동엽문학관,126.909334460368,36.2776658902617,부여읍,12.0,0,Saturday
1,신리교회,126.896307645774,36.300635423305,규암면,1.0,0,Sunday
1,신리보건진료소,126.89805751162532,36.29810794324152,규암면,3.0,1,Saturday
1,신선설농탕/김포점,126.697344474437,37.6227787994806,경기도 김포시,1.0,1,Sunday
1,신성리갈대밭,126.8628985912224,36.06768812169105,충청남도 서천군,9.0,2,Saturday
1,신세계백화점/천안아산점,127.15606633618994,36.81948953261511,충청남도 천안시,1.0,0,Sunday
1,신창집,126.741218445341,36.6865793886186,충청남도 예산군,1.0,2,Sunday
1,신천중부교회,126.788917736959,37.4318669612902,경기도 시흥시,1.0,0,Saturday
1,신포우리만두/부여점,126.9110088,36.2813071,부여읍,3.0,1,Saturday
1,신화펜션,126.51620846346955,36.31239300511539,충청남도 보령시,1.0,1,Saturday
1,십일월오일,127.49511569981078,37.17089187203414,경기도 이천시,1.0,1,Saturday
1,싱그린골프클럽,127.42449071020684,36.38470317355412,대전광역시 대덕구,1.0,0,Saturday
1,쌀굽당,126.911028717067,36.282026514159,부여읍,1.0,1,Saturday
1,쌈마름,126.914500622285,36.2829986450309,부여읍,2.0,0,Saturday
1,쌍도하우스,126.5904385237031,36.13078611657263,충청남도 서천군,1.0,0,Saturday
1,썬스파,126.758115194108,37.6707088875504,경기도 고양시,1.0,1,Saturday
1,아디다스/대전도마점,127.3820783055322,36.314187931445,대전광역시 서구,1.0,0,Saturday
1,아리랑모텔,126.9117786784993,36.27872133923864,부여읍,11.0,1,Saturday
1,아산만방조제,126.909921124349,36.9015293918517,충청남도 아산시,2.0,1,Sunday
1,아산스파비스,126.980596363598,36.8560743845979,충청남도 아산시,1.0,0,Saturday
1,아산온천호텔,126.980112385343,36.8543766239259,충청남도 아산시,1.0,1,Saturday
1,아산한우골목,126.972523607923,36.8160059578062,충청남도 아산시,1.0,0,Saturday
1,아우내장터,127.298449529033,36.7611174011378,충청남도 천안시,1.0,0,Sunday
1,아웃도어247,127.333445491545,36.5340835155266,세종특별자치시,1.0,1,Sunday
1,아웃백스테이크하우스/효자점,127.10212915084232,35.81760314140382,전라북도 전주시,1.0,1,Saturday
1,아워스우스,127.40150398384785,36.39668708061911,대전광역시 유성구,1.0,1,Saturday
1,아인스베이커리카페,127.0188715950858,35.96892072900858,전라북도 익산시,1.0,2,Saturday
1,아주대학교,127.04355285631812,37.28295793156606,경기도 수원시,1.0,1,Sunday
1,아줌마돈까스/가양점,127.44100769208576,36.34911919762543,대전광역시 동구,1.0,2,Saturday
1,아쿠아픽,126.8806985068802,37.48072917528573,서울특별시 금천구,1.0,1,Saturday
1,안면도아구꽃게찜,126.911862001588,36.279054635076,부여읍,1.0,2,Saturday
