목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
동자북마을회관,126.81378900763,36.0844928992299,서천군,한산면,기업/단체,사회시설,회관,6
딱정벌레펜션,126.59125283957484,36.13115306930011,서천군,비인면,여행/레저,숙박,펜션,10
띠섬목해변,126.55497825388451,36.1353190710683,서천군,서면,여행/레저,관광명소,해수욕장,9
라움스테이,126.52047636358044,36.16006934066176,서천군,서면,여행/레저,숙박,펜션,67
램프카페,126.698160977175,36.010750658902,서천군,장항읍,생활편의,카페,카페기타,3
레포츠공원,126.69066101275418,36.08896395143978,서천군,서천읍,여행/레저,관광명소,공원,7
로우커피바,126.51523165404,36.152316927704,서천군,서면,생활편의,카페,카페기타,9
롯데리아/서천점,126.696216181662,36.075771036731,서천군,서천읍,생활편의,음식점,패스트푸드,3
마량리동백나무숲,126.493928117015,36.1367352577929,서천군,서면,여행/레저,관광명소,문화유적지,22
마량진항,126.5031815510656,36.133827635767744,서천군,서면,교통편의,교통시설,항구,22
마량포구,126.50428836778828,36.12898619398603,서천군,서면,여행/레저,관광명소,포구,544
마로네하우스,126.732991258813,36.0060569326793,서천군,마서면,생활편의,음식점,전문음식점,6
마서면머물다,126.729741409017,36.023166082957,서천군,마서면,생활편의,카페,카페기타,9
만연숯불갈비/서천점,126.69030133312968,36.083924083478,서천군,서천읍,생활편의,음식점,한식,6
말자네 식당,126.696577786965,36.0104173550431,서천군,장항읍,생활편의,음식점,한식,3
머무름,126.665747076329,36.024498925314,서천군,장항읍,생활편의,카페,카페기타,7
메이퀸호텔,126.696883299366,36.012417129477,서천군,장항읍,여행/레저,숙박,호텔,9
명동식당,126.68472465883389,36.07627057748462,서천군,서천읍,생활편의,음식점,한식,9
모범낚시,126.50337153627656,36.1532354678542,서천군,서면,여행/레저,레저/스포츠,낚시,3
문곡리마을회관,126.678856100317,36.1390415251339,서천군,판교면,기업/단체,사회시설,회관,3
문헌서원,126.785458127362,36.0919641188883,서천군,기산면,여행/레저,관광명소,문화유적지,22
문헌전통호텔,126.78287503355556,36.09071424702682,서천군,기산면,여행/레저,숙박,호텔,12
물버들펜션,126.783152429037,36.1342648518072,서천군,마산면,여행/레저,숙박,펜션,8
물양장,126.697244418119,36.0074732485869,서천군,장항읍,교통편의,교통시설,항구,3
미카엘요양원,126.728602601193,36.0256380182722,서천군,마서면,의료편의,기타의료시설,요양원,3
바다내음캠핑장,126.51282662908405,36.15800399568377,서천군,서면,여행/레저,레저/스포츠,캠프장,3
바다마을고래고래,126.67028297537688,36.017801255844105,서천군,장항읍,여행/레저,레저/스포츠,놀이시설,3
바다에황토펜션,126.5660810528039,36.1352015546252,서천군,서면,여행/레저,숙박,펜션,15
바다의아침펜션,126.615945320626,36.102267597637,서천군,비인면,여행/레저,숙박,펜션,4
바다정원펜션,126.606529409975,36.1123497341734,서천군,비인면,여행/레저,숙박,펜션,6
바다해물나라,126.579337187219,36.1367912536597,서천군,비인면,생활편의,음식점,전문음식점,3
바닷가펜션모텔,126.52561951078724,36.16589876849105,서천군,서면,여행/레저,숙박,모텔/여관,3
바닷마을펜션,126.526175013601,36.1663153906128,서천군,서면,여행/레저,숙박,펜션,4
번지피지오/본사,126.721214550573,36.002946112252,서천군,장항읍,여행/레저,레저/스포츠,레저/스포츠기타,3
벌떼가든,126.68161706529732,36.17415526212771,서천군,판교면,생활편의,음식점,한식,4
별빛정원펜션,126.6119288804988,36.09808718853751,서천군,비인면,여행/레저,숙박,펜션,13
보라가든,126.52870254260203,36.169315062184346,서천군,서면,생활편의,음식점,전문음식점,4
보화식당,126.7076784,36.0644022,서천군,마서면,생활편의,음식점,한식,3
복권판매점/화산점,126.66443017470704,36.09617915674801,서천군,종천면,쇼핑,취미/오락,복권,3
봄의마을,126.691188847567,36.0761043054031,서천군,서천읍,기업/단체,사회시설,사회복지시설,4
봉은수산,126.687300314483,36.0747988775836,서천군,서천읍,쇼핑,시장,농수축산물시장,3
부사방조제,126.52403616437478,36.18522989148365,서천군,서면,기업/단체,산업시설,산업시설기타,156
부킹낚시,126.511204238091,36.1518725128542,서천군,서면,여행/레저,레저/스포츠,낚시,3
불꽃,126.737157484462,36.0149170595876,서천군,마서면,생활편의,음식점,한식,6
블루아일랜드캠핑장,126.8101252,36.1061047,서천군,한산면,여행/레저,레저/스포츠,캠프장,72
비인해수욕장,126.58997519005584,36.12931993788207,서천군,비인면,여행/레저,관광명소,해수욕장,386
빨간풍차아띠앙펜션,126.63541587348,36.094713004336,서천군,종천면,여행/레저,숙박,펜션,15
사랑이네펜션,126.596196816669,36.1346249224132,서천군,비인면,여행/레저,숙박,펜션,3
