is_weekend,목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,festival_period,요일
0,14-2동 임시주차장/정부세종청사,127.267012356123,36.4985578860361,세종특별자치시,1.0,2,Friday
0,24시성심동물메디컬센터,127.34531548131154,36.35306757720548,대전광역시 유성구,1.0,0,Thursday
0,24시전주명가콩나물국밥/공주점,127.13345324533223,36.46930582803515,신관동,2.0,0,Friday
0,24시전주명가콩나물국밥/나성점,127.2562844182572,36.48992490344558,세종특별자치시,1.0,1,Tuesday
0,25시뼈다귀탕,127.391587186243,35.4139722171281,전라북도 남원시,1.0,0,Wednesday
0,2월호텔/성서점,128.49121501216,35.8417359313652,대구광역시 달서구,1.0,2,Wednesday
0,3S부티크호텔,127.07440807603776,37.222948368169085,경기도 화성시,1.0,0,Wednesday
0,5.5닭갈비,127.257846124286,36.5146113905638,세종특별자치시,1.0,1,Monday
0,5.5닭갈비/갈마점,127.375738086447,36.3483185155227,대전광역시 서구,1.0,0,Tuesday
0,505펜션앤키즈캠핑장,127.02012821520432,36.50125213368652,사곡면,3.0,1,Thursday
0,79대포/아산탕정점,127.05907158516,36.7970855330768,충청남도 아산시,1.0,1,Tuesday
0,88양꼬치,127.28842883817808,36.47708933993307,세종특별자치시,1.0,0,Friday
0,AK플라자/광명,126.8828338297375,37.41866320750575,경기도 광명시,1.0,1,Monday
0,BBQ/공주신월점,127.147894856217,36.4737560125455,월송동,2.0,2,Thursday
0,BHC/공주대점,127.1371735925166,36.47331155619646,신관동,3.0,0,Wednesday
0,BHC/옥룡점,127.1334796434089,36.45467477153064,옥룡동,1.0,1,Friday
0,CGV/김포운양,126.68412604991,37.654712776603,경기도 김포시,1.0,1,Monday
0,CGV/대전,127.4084298628586,36.32061362411971,대전광역시 중구,1.0,0,Thursday
0,CGV/대전가수원,127.35069165147829,36.30552013310163,대전광역시 서구,1.0,1,Monday
0,CGV/동수원,127.03231003231716,37.26390632559984,경기도 수원시,1.0,1,Thursday
0,CGV/아산,127.00844655246328,36.7802337415048,충청남도 아산시,1.0,1,Monday
0,CGV/유성노은,127.3184252503807,36.37253644408374,대전광역시 유성구,2.0,1,Wednesday
0,CGV/익산,126.973768289991,35.9580404868306,전라북도 익산시,1.0,1,Thursday
0,CGV/천안펜타포트,127.10176371662668,36.79855251548843,충청남도 아산시,1.0,0,Thursday
0,CJ제일제당/공주공장,127.14231292851,36.3717120574909,계룡면,1.0,0,Tuesday
0,CJ제일제당/논산공장,127.11406282891,36.1378450235896,충청남도 논산시,1.0,0,Tuesday
0,CK뉴욕바닷가재/계양점,126.74424551242,37.5438242061734,인천광역시 계양구,1.0,0,Tuesday
0,CU/공주검상공단점,127.07511216362605,36.43035842393694,금학동,2.0,2,Thursday
0,CU/공주대학로점,127.135673755356,36.4700341435328,신관동,1.0,1,Friday
0,CU/공주동학사점,127.2524342309717,36.36182322393592,반포면,4.0,1,Thursday
0,CU/공주시청점,127.12054329007776,36.44673926246119,금학동,1.0,1,Tuesday
0,CU/공주옥룡점,127.133443725425,36.4542682902645,옥룡동,1.0,1,Thursday
0,CU/공주월송점,127.15497727254105,36.47528892830412,월송동,2.0,1,Friday
0,CU/공주유구점,126.952497962588,36.55040406474595,유구읍,2.0,0,Thursday
0,CU/공주차령휴게소점,127.123145548372,36.641653360889,정안면,3.0,0,Friday
0,CU/공주청룡점,127.14020731724588,36.49994692873693,의당면,1.0,0,Tuesday
0,CU/공주탄천산업단지점,127.06340224028048,36.30138060259168,탄천면,5.0,0,Monday
0,CU/공주터미널점,127.132713112866,36.4680496963496,신관동,1.0,0,Tuesday
0,CU/남중루센티아점,126.96305604278444,35.95011666344309,전라북도 익산시,1.0,0,Thursday
0,CU/논산리벤하임점,127.10338915672276,36.18185445149236,충청남도 논산시,12.0,0,Tuesday
0,CU/농공휴게소점,127.158777865965,36.4818957468615,월송동,1.0,2,Friday
0,CU/다와한국영상대학교점,127.2086704689403,36.46308289892693,세종특별자치시,1.0,1,Monday
0,CU/대전자운대점,127.34073793071204,36.41314197668662,대전광역시 유성구,1.0,1,Thursday
0,CU/도안5단지점,127.33618350769,36.3445396507263,대전광역시 유성구,1.0,1,Thursday
0,CU/보은삼년산성점,127.738009694967,36.4962839217636,충청북도 보은군,1.0,1,Tuesday
0,CU/세종도램마을1단지점,127.25772715609874,36.50836034329564,세종특별자치시,1.0,1,Thursday
0,CU/세종새마을점,127.220729928645,36.4994166694611,세종특별자치시,2.0,2,Thursday
0,CU/세종펜타힐스점,127.30168364710762,36.48505524122053,세종특별자치시,1.0,1,Monday
0,CU/신관2호점,127.129946083488,36.4707021581541,신관동,3.0,1,Friday
0,CU/연무남창점,127.030451185853,37.2951026172763,경기도 수원시,1.0,0,Friday
0,CU/오송다니엘점,127.318109819804,36.6189445554813,충청북도 청주시,1.0,0,Thursday
0,CU/월평무지개점,127.376371232382,36.3585827044067,대전광역시 서구,1.0,0,Tuesday
0,CU/조치원욱일점,127.2927363836,36.6036794324695,세종특별자치시,1.0,2,Thursday
0,CU/천안천아이유쉘점,127.15006497701964,36.81804466973053,충청남도 천안시,1.0,0,Monday
0,CU/청주동남우미린점,127.50778148481982,36.60223088247067,충청북도 청주시,1.0,1,Friday
0,CU/청주성모병원정문점,127.484963523222,36.6717758657947,충청북도 청주시,1.0,0,Friday
0,DB프로미농구교실/대전점,127.308700044203,36.3411568860993,대전광역시 유성구,1.0,0,Tuesday
0,EJ파크랜드,127.103102665721,36.8026973800083,충청남도 천안시,1.0,0,Thursday
