목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
부여향교,126.915102,36.2804078,부여군,부여읍,여행/레저,관광명소,문화유적지,0,0.10714285714285714
부여효요양원,127.007492652768,36.2484475450428,부여군,석성면,의료편의,기타의료시설,요양원,1,0.17647058823529413
불교문화원,126.908806702356,36.2808599679674,부여군,부여읍,생활편의,종교,절,1,0.17647058823529413
비당교회,127.019408409478,36.2311718003818,부여군,석성면,생활편의,종교,교회시설,1,0.35294117647058826
비비비,126.9449280485096,36.29529842343314,부여군,부여읍,생활편의,카페,카페기타,1,0.35294117647058826
비비비,126.94529760862572,36.29531312091584,부여군,부여읍,생활편의,카페,카페기타,0,0.10714285714285714
비비비,126.94529760862572,36.29531312091584,부여군,부여읍,생활편의,카페,카페기타,1,0.17647058823529413
비엠에스,126.889892131109,36.2320043148339,부여군,장암면,기업/단체,업종별기업,업종별기업기타,0,0.21428571428571427
사또국밥,126.916139394537,36.2795823766153,부여군,부여읍,생활편의,음식점,한식,0,0.10714285714285714
사랑나무,126.89964155499108,36.19759161871384,부여군,임천면,여행/레저,관광명소,촬영지,0,0.6071428571428571
사랑나무,126.89964155499108,36.19759161871384,부여군,임천면,여행/레저,관광명소,촬영지,1,7.235294117647059
사랑나무돈까스,126.8918532663431,36.1906778700522,부여군,임천면,생활편의,음식점,전문음식점,0,0.10714285714285714
사랑나무돈까스,126.8918532663431,36.1906778700522,부여군,임천면,생활편의,음식점,전문음식점,1,0.17647058823529413
사비궁,126.90663087116168,36.307388708410826,부여군,규암면,여행/레저,관광명소,관광명소기타,1,0.17647058823529413
사비면옥,126.912973042496,36.2756939129247,부여군,부여읍,생활편의,음식점,한식,0,0.3214285714285714
사비면옥,126.912973042496,36.2756939129247,부여군,부여읍,생활편의,음식점,한식,1,1.3529411764705883
사비문,127.000409976293,36.2452256495915,부여군,석성면,여행/레저,관광명소,문화유적지,1,0.17647058823529413
사비한옥,126.92347419831788,36.2915083579,부여군,부여읍,여행/레저,숙박,펜션,0,0.21428571428571427
사비한옥,126.92347419831788,36.2915083579,부여군,부여읍,여행/레저,숙박,펜션,1,0.35294117647058826
사비향,126.913028616258,36.272972001006,부여군,부여읍,생활편의,음식점,한식,1,0.8235294117647058
삼성광고인쇄,126.918889115501,36.2836374856614,부여군,부여읍,기업/단체,업종별기업,업종별기업기타,1,0.17647058823529413
삼오식당,126.990105516142,36.2242002064933,부여군,석성면,생활편의,음식점,한식,1,0.17647058823529413
삼용1리마을회관,126.785568197594,36.2169221250037,부여군,남면,기업/단체,사회시설,회관,0,0.10714285714285714
삼일씨엔에스/부여공장,126.8697550920542,36.22486612713293,부여군,장암면,기업/단체,업종별기업,건설업,0,0.7857142857142858
삼일씨엔에스/부여공장,126.8697550920542,36.22486612713293,부여군,장암면,기업/단체,업종별기업,건설업,1,0.17647058823529413
삼정식당,126.9195557254954,36.28333196862744,부여군,부여읍,생활편의,음식점,한식,0,0.21428571428571427
삼정식당,126.9195557254954,36.28333196862744,부여군,부여읍,생활편의,음식점,한식,1,0.7647058823529412
서동공원,126.911584313687,36.2713888399188,부여군,부여읍,여행/레저,관광명소,공원,1,0.6470588235294118
서동맛고을,126.914500682791,36.2758883437473,부여군,부여읍,생활편의,음식점,한식,0,0.10714285714285714
서동선화한옥,126.927471616012,36.291803270204,부여군,부여읍,여행/레저,숙박,펜션,0,0.10714285714285714
서동선화한옥,126.927471616012,36.291803270204,부여군,부여읍,여행/레저,숙박,펜션,1,0.9411764705882353
서동요오픈세트장,126.82367652048136,36.14484720175128,부여군,충화면,여행/레저,관광명소,촬영지,0,1.1785714285714286
서동요오픈세트장,126.82367652048136,36.14484720175128,부여군,충화면,여행/레저,관광명소,촬영지,1,1.5294117647058825
서동한우/본점,126.915444982045,36.283081974145,부여군,부여읍,생활편의,음식점,한식,0,0.42857142857142855
서동한우/본점,126.915444982045,36.283081974145,부여군,부여읍,생활편의,음식점,한식,1,1.5882352941176472
서울오치과의원,126.911306482906,36.2805266865375,부여군,부여읍,의료편의,의료시설,의원,1,0.17647058823529413
서진기계,127.003020738329,36.2588630010091,부여군,석성면,기업/단체,업종별기업,철강 금속,0,0.5714285714285714
서진기계,127.003020738329,36.2588630010091,부여군,석성면,기업/단체,업종별기업,철강 금속,1,0.17647058823529413
선진기업,127.013242011762,36.2635847434574,부여군,석성면,기업/단체,업종별기업,업종별기업기타,1,0.23529411764705882
성요셉연합의원,126.91080307693976,36.2795784349898,부여군,부여읍,의료편의,의료시설,의원,0,0.21428571428571427
성천씨엠에스,127.007159200732,36.2656955799307,부여군,초촌면,기업/단체,업종별기업,기계,0,0.10714285714285714
세븐일레븐/부여롯데아울렛점,126.902112628434,36.307273588254,부여군,규암면,쇼핑,대형유통점,편의점,0,0.10714285714285714
소담돈까스,126.769680152685,36.2853031376168,부여군,내산면,생활편의,음식점,전문음식점,0,0.10714285714285714
소담돈까스,126.769680152685,36.2853031376168,부여군,내산면,생활편의,음식점,전문음식점,1,0.17647058823529413
솔내음,126.90891776082378,36.28588717375132,부여군,부여읍,생활편의,음식점,한식,0,0.3571428571428571
솔내음,126.90891776082378,36.28588717375132,부여군,부여읍,생활편의,음식점,한식,1,3.9411764705882355
송정그림책마을,126.8305648616868,36.137125895284726,부여군,양화면,여행/레저,관광명소,관광명소기타,1,0.17647058823529413
수도산기도원,126.7838297600976,36.18480636172134,부여군,충화면,생활편의,종교,교회시설,0,0.17857142857142858
수북로1945,126.88753515788056,36.272212596283424,부여군,규암면,생활편의,카페,카페기타,1,0.5882352941176471
수월옥,126.888558575027,36.2723608232733,부여군,규암면,생활편의,카페,카페기타,0,0.10714285714285714
수월옥,126.888558575027,36.2723608232733,부여군,규암면,생활편의,카페,카페기타,1,0.17647058823529413
스핀당구장,126.907001330953,36.2780824964715,부여군,부여읍,여행/레저,레저/스포츠,당구장,1,0.17647058823529413
시골뚜부,126.89502331118632,36.3015433731007,부여군,규암면,생활편의,음식점,한식,1,0.5294117647058824
시골아낙,126.913584124313,36.2727498071868,부여군,부여읍,생활편의,음식점,한식,1,0.17647058823529413
시골통닭,126.91161387734525,36.28202002972837,부여군,부여읍,생활편의,음식점,치킨,0,2.357142857142857
